Order,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
35a,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,1810,1995,925.83
35b,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,1810,1995,925.83
36a,S40_04006_Deinstall drilling template,Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,1995,2020,126.67
36b,S40_04006_Deinstall drilling template,Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,1995,2020,126.67
37a,S40_04007_Set in position temporary fastener,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,2020,2035,73.75
37b,S40_04007_Set in position temporary fastener,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,2020,2035,73.75
38a,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,2035,2070,116.67
38b,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,2035,2070,116.67
39a,S40_04011_Riveting buttstraps and stabiliser manual,Manual,Mechanical Operator (2),180,2070,2250,600.00
39b,S40_04011_Riveting buttstraps and stabiliser manual,Manual,Mechanical Operator (2),180,2070,2250,600.00
40a,"S40_04013_Deburring int, positioning, attach them manual",Manual,Mechanical Operator (2),45,2250,2295,150.00
40b,"S40_04013_Deburring int, positioning, attach them manual",Manual,Mechanical Operator (2),45,2250,2295,150.00
41,S40_02002_Cleanup and add sealant,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",35,2295,2330,172.08
42,S40_02003_Inspection,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",55,2330,2385,270.42
43,S40_00002_Jig out,Manual,"Crane (1), Transportation Tooling (1)",60,2385,2445,110.00
