Order,Section,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
25,Quarter section 3,"S40_04013_Deburring int, positioning, attach them manual",Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",45,565,610,135.00
26,Quarter section 4,S40_02001_Set in position Rails and LFT,Auto,"Automation Operator (2), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",10,390,400,280.00
27,Quarter section 4,S40_04001_Camera at stating holes,Auto,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",15,400,415,280.00
28,Quarter section 4,"S40_04002_Drilling orbital 4,8",Auto,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",125,415,540,1260.00
29,Quarter section 4,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Auto,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",20,540,560,280.00
30,Quarter section 4,S40_04010_Riveting buttstraps and stabiliser automatic,Auto,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",90,560,650,1260.00
31,Quarter section 4,"S40_04012_Deburring int, positioning, attach them automatic",Auto,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",25,650,675,280.00
32,Quarter section 4,S40_04014_Deinstall LFT and rails,Auto,"Automation Operator (1), Station (1), Light Flex Track Rail (1), Station Platform (1), Light Flex Track Robot (1)",35,675,710,280.00
33,Shared,S40_02002_Cleanup and add sealant,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",25,610,635,90.00
34,Shared,S40_02003_Inspection,Manual,"Mechanical Operator (2), Station (1), Station Platform (1)",55,635,690,165.00
35,Shared,S40_00002_Jig out,Manual,Crane (1),60,690,750,30.00
